audit_index,plate_relative_path,allowed_choice,allowed_confidence
34,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-034.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
35,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-035.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
36,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-036.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
37,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-037.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
38,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-038.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
39,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-039.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
40,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-040.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
41,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-041.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
42,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-042.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
43,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-043.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
44,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-044.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
45,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-045.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
46,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-046.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
47,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-047.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
48,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-048.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
49,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-049.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
50,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-050.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
