canonical_image_id,run,pattern,image_relative_path,annotation_relative_path,image_sha256,annotation_sha256,width,height,annotation_count,out_of_bounds_count,duplicate_coordinate_record_count,estimated_fingerprint_area_px,estimated_fingerprint_area_fraction,annotation_density_per_100k_estimated_fingerprint_px,inside_estimated_fingerprint_mask_count,within_16px_edge_count,within_5pct_edge_count,nearest_neighbor_median_px,otsu_dark_ridge_threshold
R1/15_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/15_right_loop.jpg,Pore ground truth/Ground truth/R1/15_right_loop.tsv,8b3ae7b7c98abf33b17097fd07e3a53ef002e7f505568a529822e574c24f4289,abdd45fa15a14e8b6b3fcb91beb2a8a92585365e94cbe16311558d8b2ad5fc2b,512,512,495,0,1,255281,0.9738197326660156,193.90397248522217,480,65,93,15.524174696260024,118.0
R1/15_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/15_whorl.jpg,Pore ground truth/Ground truth/R1/15_whorl.tsv,30d26c51e8573d64c4ff501c03c0e984080f2f62ef59723a78c82ac3ad67c067,8c615b5a9e463138967b74f5d53475e9efd9cb8f1757ab39132b0c6d46bec6f0,512,512,321,0,0,262144,1.0,122.4517822265625,321,42,63,16.492422502470642,118.0
R1/16_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/16_right_loop.jpg,Pore ground truth/Ground truth/R1/16_right_loop.tsv,d8860bfe001ee7368217376b42c0025d7d2397d3f93ce0f4c9919118d6269a05,485b74445842abb8c2e5294391471618e9b7b1296e88a60de072e255c5b6acd3,512,512,410,0,1,262144,1.0,156.402587890625,410,54,80,15.652475842498529,111.0
R1/16_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/16_whorl.jpg,Pore ground truth/Ground truth/R1/16_whorl.tsv,3a9fc0fd31fbae653088a55fbf6cbfd2850b7d296f78787884a81b21290abc82,b6958ffbb82c3f5d46ff23622bba9fc6d47efe7b1905395ba1c512694b6023e1,512,512,352,0,1,261452,0.9973602294921875,134.6327432951364,352,48,65,15.132745950421556,117.0
R1/17_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/17_right_loop.jpg,Pore ground truth/Ground truth/R1/17_right_loop.tsv,9ea297c71e7e72df46e4eb69c5abadeebb29ef635577b270823e30fd2ce0a08c,130d389c33f16b73e1f9545d4cfebc2327d6a86452e17a2439efa95fc1343368,512,512,442,0,0,261771,0.9985771179199219,168.849872598569,442,51,81,15.556349186104045,116.0
R1/17_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/17_whorl.jpg,Pore ground truth/Ground truth/R1/17_whorl.tsv,544d3eeaee1bd3f348a1ae2b10b9c1dc13f1eca37bef6e730ec79e8b72394718,183d00fb4d74fc16415c0a7ff57617c91f814cffbc1e2ec8c15b691b27b6d8c5,512,512,499,0,0,262144,1.0,190.3533935546875,499,68,95,15.264337522473747,107.0
R1/18_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/18_right_loop.jpg,Pore ground truth/Ground truth/R1/18_right_loop.tsv,04af4e5fe5638008ef89c3012e73dbef32dd358fbb34c994877453832eaf02a2,f6f12779555ce3c1a565621e99a9bd2bffa708bd2b87492cbc0b87a3d8871772,512,512,468,0,0,253215,0.9659385681152344,184.82317398258397,453,52,81,15.132745950421556,133.0
R1/18_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/18_whorl.jpg,Pore ground truth/Ground truth/R1/18_whorl.tsv,97b9ddd2da2ee5805dfe2f5d7a98816fd29600c2d2e83f080a20da6d190c7e71,aa039b44f2ca0073ad500a720050e44140470fccc394ffd2154fbe7f7b1832c5,512,512,386,0,0,260706,0.9945144653320312,148.05949997314983,386,37,64,15.620499351813308,115.0
R1/19_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/19_right_loop.jpg,Pore ground truth/Ground truth/R1/19_right_loop.tsv,b63006a662f296df8a7da782965eb1c8286786b27de8b0647e4fdf8d2db01b93,b8b84c22d731e1d3421b5f61a945329d19654d55e171e4f21c768624566fa589,512,512,459,0,1,261979,0.9993705749511719,175.2048828341203,459,62,87,15.033296378372908,124.0
R1/19_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/19_whorl.jpg,Pore ground truth/Ground truth/R1/19_whorl.tsv,e8d767e768aec06a61843c391aae88d26188bb7a88583fdd9f74cf77a6cf37e1,6e07d36a716e50bc1318596a84f7e70003136498658fe4655b6ef86a96f2f151,512,512,329,0,0,261382,0.9970932006835938,125.86941717486285,329,42,59,15.811388300841896,117.0
R1/1_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/1_left_loop.jpg,Pore ground truth/Ground truth/R1/1_left_loop.tsv,bd74db956a8adb54491704e878f62116f195bff18056ccd08d045b66253e1a0e,09188e911380c5e247171184f9b3ec6f0a22a6fd5144b564b0caaba8ac0c2e5f,512,512,339,0,0,262144,1.0,129.3182373046875,339,41,67,15.524174696260024,117.0
R1/1_plain_arch,R1,plain_arch,Pore ground truth/Fingerprint Images/R1/1_plain_arch.jpg,Pore ground truth/Ground truth/R1/1_plain_arch.tsv,656808f1e725209fcc142bfad1b98567bf9a3832644dbb9c1ae24aeae6f52108,d103f1a79417724e6a16aba18eb9a5ffae2c2db4e04a97080af582ad83f593b1,512,512,397,0,0,260696,0.994476318359375,152.2846533893884,397,48,67,14.866068747318506,146.0
R1/1_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/1_right_loop.jpg,Pore ground truth/Ground truth/R1/1_right_loop.tsv,16aa1bff1180f32fe28ca296a43d52d4554298c02811a43450f2b0c7d8e9d313,1a6abc3fef8c3986aa288ed29d793d43d05c53fb441083fe5a2370aefad90408,512,512,402,0,0,262144,1.0,153.350830078125,402,37,67,15.888495669547813,118.0
R1/1_tented_arch,R1,tented_arch,Pore ground truth/Fingerprint Images/R1/1_tented_arch.jpg,Pore ground truth/Ground truth/R1/1_tented_arch.tsv,ecd5afe59281e8b98d8189b7a66c40dd1308eefe2f1ea560f85d2c447fdf13f2,c931e9f526a697f66b0eb621eef18022e6a771c071aab97f11568cbc5cf57269,512,512,520,0,2,262144,1.0,198.3642578125,520,66,106,14.815445903775952,121.0
R1/1_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/1_whorl.jpg,Pore ground truth/Ground truth/R1/1_whorl.tsv,4e281f1cdd1cda531d5df6d69beb7af0b0eed940e019329376a2894ecd28e6ee,7c5f72396d88f9af727cb50f717618e5ecec8142df2a89c0f70312860a4dc6a8,512,512,454,0,0,261849,0.9988746643066406,173.38236922806655,454,52,73,15.620499351813308,109.0
R1/20_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/20_right_loop.jpg,Pore ground truth/Ground truth/R1/20_right_loop.tsv,22b8277288ebfb7868897d0a0f3ed0a57c2e942579a4657c1450b482886a5177,ee41221d1e9ae1886ed1d0b5a99cb0e702627a8bdfc080a61e7d867dbf27d044,512,512,363,0,0,262144,1.0,138.4735107421875,363,34,63,15.524174696260024,115.0
R1/20_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/20_whorl.jpg,Pore ground truth/Ground truth/R1/20_whorl.tsv,15bc266e518198fa18e6ec27d139e92630815e08dd55feb839450311e16f5d27,54934a547ee2908868dec8221dd82318ec952e2812bcaa5fb1316ff3a9a534b6,512,512,427,0,2,261149,0.9962043762207031,163.50818881175115,427,46,70,16.0,114.0
R1/21_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/21_right_loop.jpg,Pore ground truth/Ground truth/R1/21_right_loop.tsv,2324f6750bb027b426b7cb42227b3ed21be00bc77ce1771f31300e054f7589aa,236f6a5449c6a7a72542b2ce6ddfd67d30f0019fba19779d1f9524eb5777fb37,512,512,349,0,0,262144,1.0,133.1329345703125,349,43,77,15.811388300841896,126.0
R1/21_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/21_whorl.jpg,Pore ground truth/Ground truth/R1/21_whorl.tsv,b9b9ce995c4a75132b6676fc4aa05015b8be991e95221ba23a2da8762c400f8b,74c95183bcc3634a5887220c77cd528a6fdcaa42f8f816ef66957d988ddf1cf0,512,512,371,0,1,255222,0.9735946655273438,145.3636441999514,369,51,78,16.15549442140351,148.0
R1/22_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/22_right_loop.jpg,Pore ground truth/Ground truth/R1/22_right_loop.tsv,3aa614f95c01e2638b55c757065f84511404e0e162fda07e21bdcf335b4a8b14,cbcec9973a7eb36bd7b8f34c294422ea0f112cc76a665be97a68cc3e814c60b4,512,512,435,0,0,262144,1.0,165.9393310546875,435,53,86,16.492422502470642,114.0
R1/22_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/22_whorl.jpg,Pore ground truth/Ground truth/R1/22_whorl.tsv,f0f904d1293507e63f170c96136ed390dd431386e293968255d523b52411ac54,e1dcce866e45e482a682705193cca511388a3bde51c268c53b22de935c0a70a1,512,512,456,0,0,261951,0.9992637634277344,174.07835816622193,456,60,85,14.933034373659254,110.0
R1/23_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/23_right_loop.jpg,Pore ground truth/Ground truth/R1/23_right_loop.tsv,88ed925f4406512e2479263d9a2ccb66e30bb7472006808f0fb2d7664b7ee2b6,6f2c1a1789a88a043f6829526879f96070d0a8fdb1a079abdfb21e2059e3fde2,512,512,480,0,0,262144,1.0,183.10546875,480,58,80,15.264337522473747,111.0
R1/23_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/23_whorl.jpg,Pore ground truth/Ground truth/R1/23_whorl.tsv,ebb400ef032b7d78f1f8b8ee245d24c847c6201703d4e1cbeeee2ec7db9a0c35,b10ec44bdb966f2188ef31d9e4d8021a726a6ab1bb5f69da0646af67d68ac71b,512,512,351,0,0,258449,0.9859046936035156,135.8101598381112,351,34,55,15.811388300841896,130.0
R1/24_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/24_right_loop.jpg,Pore ground truth/Ground truth/R1/24_right_loop.tsv,1ae30263eaba62a07d177f5055ead489dc837adb16d6d7acce29aac30da4ccfa,f1b6a1fbd432c4fe37498ef858e4d2eabb97bfb9c6bb2ec0eb43f665feb3f5ee,512,512,433,0,0,262144,1.0,165.1763916015625,433,57,85,15.811388300841896,110.0
R1/24_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/24_whorl.jpg,Pore ground truth/Ground truth/R1/24_whorl.tsv,13c25a39901662a9791fc9e6b3fe55e2e7aea2a67eb487d5a053e3c0be2495b2,63d150619bb7866b360e3160c3cefd0d8ba5bab1647ea9ddc403d3c05858e180,512,512,490,0,0,261929,0.9991798400878906,187.07359627990792,490,51,88,16.55294535724685,109.0
R1/25_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/25_right_loop.jpg,Pore ground truth/Ground truth/R1/25_right_loop.tsv,78665412380d0f93e375b9a911aae10bb39e918e047948d04f1c008a0a277678,8b651997033269963711593295d4014d40c1513105c981cbf585231c4d58944d,512,512,399,0,2,260803,0.9948844909667969,152.98903770278716,399,55,78,14.212670403551895,122.0
R1/25_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/25_whorl.jpg,Pore ground truth/Ground truth/R1/25_whorl.tsv,1badcd995871c616d3af62dbc5776e332b2fbd2caf563c809890417e232cf1d6,8a484ff75af75642b86294412d35e6f5566a774b6f1428183645927112965113,512,512,450,0,1,261345,0.9969520568847656,172.18619066750847,450,57,84,16.140004959000304,115.0
R1/26_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/26_right_loop.jpg,Pore ground truth/Ground truth/R1/26_right_loop.tsv,a4737e69f9c8e87a15fe5306b7bfc6779daa29b62712861eb1802b701f78c527,bf2c326d34cf022bad7b8ebe55c6c04679755f5979eb69b9441fbfc9bd0f5d1c,512,512,430,0,1,260995,0.9956169128417969,164.7541140634878,428,52,84,15.556349186104045,119.0
R1/26_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/26_whorl.jpg,Pore ground truth/Ground truth/R1/26_whorl.tsv,9daf9650d2480453863173f1e3e933f0cb213880512b0dd6c3210e0e3f8b2cbb,18d5623788c957ac3865cd8d8150fc7b1fb76a9e03506b29130ea8832dd1ed5d,512,512,314,0,1,262144,1.0,119.781494140625,314,43,72,16.34002003147822,118.0
R1/27_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/27_right_loop.jpg,Pore ground truth/Ground truth/R1/27_right_loop.tsv,5b92011f0644fa412f1c373c12224c89e0decefe00d11d52042ca588f46f8332,1c388195c5c55124c5dad5e257e32b7e361cd318833301c4a0e6bcf891d91f6d,512,512,396,0,1,261717,0.9983711242675781,151.30847442084388,396,49,69,15.280698031626052,132.0
R1/27_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/27_whorl.jpg,Pore ground truth/Ground truth/R1/27_whorl.tsv,e5e9f821b15253822fccc559f8683161b2b11e2308c1d67a5f9af5ced5ce5b4d,d8b0e1690103a7916ae6ba32ce68ebbec36b49b39181b8ae2b99421da3d0bd10,512,512,480,0,0,262144,1.0,183.10546875,480,64,100,15.905694150420949,120.0
R1/28_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/28_right_loop.jpg,Pore ground truth/Ground truth/R1/28_right_loop.tsv,50642b3c2765db42ace154f0100be1b9f32fdfc208c316b5ee92e26604567080,ceabba1143fd007914619e27d5b2c793a00ad6fdaa6643a2692e1820c096f5fd,512,512,389,0,1,261834,0.9988174438476562,148.56741294102372,389,51,72,15.524174696260024,118.0
R1/28_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/28_whorl.jpg,Pore ground truth/Ground truth/R1/28_whorl.tsv,200740b83137cf2ee05ee86371311f5a68ae2b33a83933b5227f4ac2f3f98bdf,62a1215d314d36b78f36baf00465644980d8a4b9a9c5da9db4cfc2d3840314b0,512,512,411,0,0,259667,0.9905509948730469,158.2796427732442,409,48,74,15.811388300841896,139.0
R1/29_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/29_right_loop.jpg,Pore ground truth/Ground truth/R1/29_right_loop.tsv,7970dcf965c34122cf286b558a95179302701dd8af8ce962c3bec099b5b13ea7,b89f5f3f3dd4fe3b7f646a55e6191b95debfaef6d6c4378790427446b3342e64,512,512,413,0,0,261695,0.9982872009277344,157.8173064063127,413,54,81,15.264337522473747,124.0
R1/29_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/29_whorl.jpg,Pore ground truth/Ground truth/R1/29_whorl.tsv,407d30e1bc49a2ee77c801399b4d0132db4170af481723c7c520f60e39d94d0e,7179b241f78eb2c7311ff987c6111b692a70c65b6d924b5604126717b9426fcd,512,512,374,0,0,261259,0.9966239929199219,143.15296315150866,374,38,64,16.217157508751608,117.0
R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,512,512,392,0,0,261414,0.9972152709960938,149.95371326707829,392,50,78,17.102625129629374,112.0
R1/2_plain_arch,R1,plain_arch,Pore ground truth/Fingerprint Images/R1/2_plain_arch.jpg,Pore ground truth/Ground truth/R1/2_plain_arch.tsv,200604fc996a2aa428b77e750d208fc4870d9d6736acaee0dd7e27f4c8bdfb6c,dbcb997d67a5544f71a866442a6a8049a5759e78b60e701975ebe070a94e0ca8,512,512,471,0,0,262144,1.0,179.6722412109375,471,52,83,15.0,117.0
R1/2_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/2_right_loop.jpg,Pore ground truth/Ground truth/R1/2_right_loop.tsv,1ca369de0d264b8c466d259642c6711f909dacc2de6650988b723ebf66ee2fb5,dfa3dafde93447601d33d0949125405d2376ade37a2592707fcf535579ccbb71,512,512,455,0,2,262144,1.0,173.5687255859375,455,63,91,15.811388300841896,111.0
R1/2_tented_arch,R1,tented_arch,Pore ground truth/Fingerprint Images/R1/2_tented_arch.jpg,Pore ground truth/Ground truth/R1/2_tented_arch.tsv,0d0161811d751c4eb2e4293464aee61b74bd037db34ec9f5028c6b0b2f17e582,da745e83e5d16eb080b050a2dd9a8a90697368397705968f2358da8f1e33ea37,512,512,448,0,0,262144,1.0,170.8984375,448,59,84,14.142135623730951,117.0
R1/2_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/2_whorl.jpg,Pore ground truth/Ground truth/R1/2_whorl.tsv,5a1dbe82bb1f4f01bde1903f596f592288328b61fc0fd622c242986a0685d345,8b7739582506b89ef43599c9b01d696496e0968ea4cd58e51713bf6bafc95e69,512,512,397,0,0,253930,0.9686660766601562,156.34229905879573,393,49,69,15.033296378372908,144.0
R1/30_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/30_right_loop.jpg,Pore ground truth/Ground truth/R1/30_right_loop.tsv,a3ef880cb441939d0c37c2620781c217def9c9086cc4990a9cd1f408a293802c,a39c62f331d533c2295085b84ac447b82b8f4c113e3c1abceb747d9b2baa22a6,512,512,345,0,1,261279,0.9967002868652344,132.04275888992225,345,43,72,15.524174696260024,135.0
R1/30_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/30_whorl.jpg,Pore ground truth/Ground truth/R1/30_whorl.tsv,0be782bfb48c052519244781938e784dbbfb564d312d1fca9e92bcb6ef2eb717,8e61475cf77b8745f4e36f4edabcb4d23a50bbabf201c02d74c589b2df29e0aa,512,512,445,0,0,257980,0.9841156005859375,172.4939917823087,443,44,71,15.132745950421556,138.0
R1/31_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/31_right_loop.jpg,Pore ground truth/Ground truth/R1/31_right_loop.tsv,5a715eb944c11fece1a76c2458668b1224d95e520d4e93ec216aa228102cb042,0aff31799b3f55debcddacd2a31a065259b17499d096405c0c8339036aaf55dc,512,512,372,0,0,262144,1.0,141.90673828125,372,45,66,15.264337522473747,122.0
R1/31_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/31_whorl.jpg,Pore ground truth/Ground truth/R1/31_whorl.tsv,6cc06afe52746fd80896a681ccef91aa964ea90d0f620f8b97879779447fdca8,b2223b6681b1c948a83dd190f16bb7398621e68dfc21a78849538ab4ee355e6a,512,512,411,0,0,255311,0.9739341735839844,160.9801379494029,407,40,66,15.811388300841896,112.0
R1/32_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/32_right_loop.jpg,Pore ground truth/Ground truth/R1/32_right_loop.tsv,62c9791232d95179b7ba7cfc6e5df8ee58dc40f68abf9bf0dac1d8f571368a63,5f7a9444b3ab6ad30c765fe039bb14b2e16469fea0217fbaf49b57362f628752,512,512,395,0,0,262144,1.0,150.6805419921875,395,62,87,14.7648230602334,121.0
R1/32_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/32_whorl.jpg,Pore ground truth/Ground truth/R1/32_whorl.tsv,0110db959e9c6c7bf0b0ef781bbd80fa356944ec71e0ad598daa3f6740bfc9bf,6da7f921405c52e6b4f1db1bc61d194bb31b8698457fbaab50c4fc10b63730a0,512,512,444,0,0,262144,1.0,169.37255859375,444,56,80,15.811388300841896,123.0
R1/33_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/33_right_loop.jpg,Pore ground truth/Ground truth/R1/33_right_loop.tsv,e04f5961bd234c9237f76c3febc1d727bd2ef2c17d259de4e6bee97df2f9bad8,5b5a339573334ce4854b5d2bf66c61bb5aa6b0ef5a49561aed3fa4a9e98892f8,512,512,418,0,0,262144,1.0,159.454345703125,418,50,70,16.0,117.0
R1/33_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/33_whorl.jpg,Pore ground truth/Ground truth/R1/33_whorl.tsv,3ff4944018fc12b6d4123f28b7825423e861050e772a692a8ee9d6ef64638470,b2c157c1fd93775e67ffc961c95d8ddb1284c52baee9a07cc91f155fd50aa77a,512,512,339,0,0,258427,0.9858207702636719,131.1782437593595,333,49,72,16.278820596099706,119.0
R1/34_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/34_right_loop.jpg,Pore ground truth/Ground truth/R1/34_right_loop.tsv,fe6cb4f0c6fc8eb775e8009fab2e2fcea6b718cff97c0d45c483b4f285ee4e3e,aaf472ed3b11771a6880dd6edb24120562fbb4c073d73fe75af2959c5e2792c6,512,512,453,0,0,262144,1.0,172.8057861328125,453,57,85,15.811388300841896,109.0
R1/34_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/34_whorl.jpg,Pore ground truth/Ground truth/R1/34_whorl.tsv,56ac10546eb33b5caa56a179017a13f892612289812636061be0a2164dea0ab4,4c59da511842d334633490b592c38937be8fc157f2bde666e8f20e29e8060821,512,512,319,0,0,261881,0.9989967346191406,121.8110515844983,319,34,53,16.0312195418814,115.0
R1/35_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/35_right_loop.jpg,Pore ground truth/Ground truth/R1/35_right_loop.tsv,0c3679d77c1c19d0e35f0c354fb943dc65e676f6ec327f3a76a06aea84eae698,8738b63234a5a496da87d32ed8a235950b80e88afbdd56a39ed4553ebe70d60a,512,512,416,0,0,260723,0.9945793151855469,159.55631072057318,413,40,74,14.0,123.0
R1/35_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/35_whorl.jpg,Pore ground truth/Ground truth/R1/35_whorl.tsv,1e0f6b925c5717d57667dfa2299ce9ca973e8b33252e9c9929eb348ad70b4727,7e871aba29c2efb004137de1b48e2f78ac8cac9fe4ea8ab3650610fbab1ba164,512,512,397,0,0,259250,0.9889602661132812,153.1340405014465,397,44,77,15.811388300841896,148.0
R1/36_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/36_right_loop.jpg,Pore ground truth/Ground truth/R1/36_right_loop.tsv,7fe1753f0a696fae25e5f13baf2e4b73945befc44234aa838c3a973b2dcceb96,ba455eb52e503aefe44cf2a6f5855afbada095c3c5654282bab6be6d0aace8ea,512,512,428,0,0,261963,0.9993095397949219,163.38185163553632,428,53,83,15.0,113.0
R1/36_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/36_whorl.jpg,Pore ground truth/Ground truth/R1/36_whorl.tsv,74976d359f1f62fcd794b39699f16f89c7e69bffde3f48a54a4a0d2610fac6aa,09778dc746e752c115c7f09a94f80b9097a9924ccdae4151ce4ef2ca4fd5f33f,512,512,451,0,1,257462,0.9821395874023438,175.1714816167046,448,58,97,16.0312195418814,138.0
R1/37_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/37_right_loop.jpg,Pore ground truth/Ground truth/R1/37_right_loop.tsv,50e42d9680e460c68917d0c0352d0b5376985e7a9d4916f085da93fd8c6ae1e6,d7fec8bed9291cc206ede062a3a917e21920bfc4acf86cdf11299bebb2d27a20,512,512,420,0,0,262144,1.0,160.21728515625,420,62,91,15.811388300841896,112.0
