audit_image_index,canonical_image_id,run,pattern,image_relative_path,annotation_relative_path,image_sha256,annotation_sha256,annotation_count_in_image,selected_annotation_count,image_selection_rank_sha256
15,R2/38_right_loop,R2,right_loop,Pore ground truth/Fingerprint Images/R2/38_right_loop.jpg,Pore ground truth/Ground truth/R2/38_right_loop.tsv,172de780308622589f6d727c3312dde66cf6f0861fbfb30bbd63857388d971d9,87f5e985403b3e735323d779cfed08593a122edbe2121cc3f0874e871cf25377,307,20,0947e036c24a003968509924c2e3259317aa6c0ab9cc04f1fe729ded65f07dc3
16,R2/54_right_loop,R2,right_loop,Pore ground truth/Fingerprint Images/R2/54_right_loop.jpg,Pore ground truth/Ground truth/R2/54_right_loop.tsv,4a3b8cfd802f530cd108b92685d9c7ef7a2de40d59d003dadfc4e542f6581c5b,ccf4cb895a79d4d2bc4d58f5a01e58af5aa32e29a4334d9f36c8475f228c339e,453,20,097ae985cd2ad59a7a93e0988cd658630d3dc4517b62f60234bac64fe119eb26
17,R2/2_tented_arch,R2,tented_arch,Pore ground truth/Fingerprint Images/R2/2_tented_arch.jpg,Pore ground truth/Ground truth/R2/2_tented_arch.tsv,6adbd013b5dd1d5757f1cf3382a5d66e7c44f675e8e485242d7dab296a3a9516,9b4efec4ea8e55ebfd83c6db82e7e9743872c5aa57624b14dd3f5c6ea9fbedb1,433,20,05f1475068db3a6862490053ba194fd47e77de245042824598d6964b7aa3bdfb
18,R2/56_whorl,R2,whorl,Pore ground truth/Fingerprint Images/R2/56_whorl.jpg,Pore ground truth/Ground truth/R2/56_whorl.tsv,c6824207b650134f67b3999b44ff8453efff208d17136fa91e6c6fc0d00b13b4,eb5e3a88812482cb49e273be30c8e6fa201a0f4053ce3bce8e9ca245de1dedf6,383,20,01edc26f494d250f6c12ade9f1910e496b947231ca467b1a52862da19c3adaee
19,R2/21_whorl,R2,whorl,Pore ground truth/Fingerprint Images/R2/21_whorl.jpg,Pore ground truth/Ground truth/R2/21_whorl.tsv,37b45793ad2e3365b844b09c945d5bf73086efc455b49bddda5f53fe05ba28d0,1fcfbbde39d2b469979c1673a26c965fcd7dc1181184c2726ced087729a7ed69,472,20,046e1f5cc87261ae0d9e43d0e3c20ae075581db02c31de1822a330ca1e974975
20,R2/43_whorl,R2,whorl,Pore ground truth/Fingerprint Images/R2/43_whorl.jpg,Pore ground truth/Ground truth/R2/43_whorl.tsv,2d06688d51b357cac670b2245390d3238ae213749353b61cff681b2a79a81aad,1b50b211c59481630613d93dc96efaa23ec577cc4d12c9f201aabf018e01bb1d,414,20,0780440d887ab37df622d7be5dc1462627709e930cadf70fe1e24f71d186c1a7
21,R3/3_left_loop,R3,left_loop,Pore ground truth/Fingerprint Images/R3/3_left_loop.jpg,Pore ground truth/Ground truth/R3/3_left_loop.tsv,0b48d9320ec6ded434c6ce22e847f553b02136da8b8c2a4eec08f25926a92e74,ba2adec0087e271f3d09f3f667a0cda01fafef04e1b877a16e7ef08e46f736db,358,20,49c06a8a0879a6f6c7471d4a0bbe9ce1acab3c80f93bf710e648880ba24e606c
22,R3/3_plain_arch,R3,plain_arch,Pore ground truth/Fingerprint Images/R3/3_plain_arch.jpg,Pore ground truth/Ground truth/R3/3_plain_arch.tsv,38fb7b66ab12f2497fdda7abe93f361e07666ec1670a6124349d5b912dd872f1,0162f7e8a2785e37c502be13c8bd0814e1a733a2fc1df63f769758494575fd4f,404,20,1be676de71630153bc0d3a8a8f5a12d846a649a2be84d523e9b7ebc2ac4ab5d7
23,R3/38_right_loop,R3,right_loop,Pore ground truth/Fingerprint Images/R3/38_right_loop.jpg,Pore ground truth/Ground truth/R3/38_right_loop.tsv,1585e2ddcf6f19e42cd3c4a66cbd742a3aa33961689fcf52fb88b4b49b6af1f5,7243b699b62ffb3859f6175f6c630ddbd912d94b08cefd59063a328d45a9c14c,530,20,0a35dca0baf4ee3c059708a25711668415538c10533d3c10b2c946baa6493105
24,R3/57_right_loop,R3,right_loop,Pore ground truth/Fingerprint Images/R3/57_right_loop.jpg,Pore ground truth/Ground truth/R3/57_right_loop.tsv,92d070b886d55bea379ef271d5948eb8fe44af56b709a9a78be90275e376cd81,4cc4c6d6acd66b741dd65b4672e2feff5e88507749ec4c889812324058924a8c,457,20,0b480df2b5c9076e3e28246c0d3d269a498b06dea8b44b2c88050de227346280
25,R3/2_right_loop,R3,right_loop,Pore ground truth/Fingerprint Images/R3/2_right_loop.jpg,Pore ground truth/Ground truth/R3/2_right_loop.tsv,55cbdcf13516a159b62bbd0f161a981f1dbcdcd62bae88ef501b9d49a96bbaaf,7da032e069b7eb80eaea83b3428ad24b26b5fb266b13f770603f6c4bb67fcbda,409,20,0b6e6aa3c239c9c402e10fc8cacf9b2f76583b871add8c1c9b072bc2298a53b3
26,R3/5_right_loop,R3,right_loop,Pore ground truth/Fingerprint Images/R3/5_right_loop.jpg,Pore ground truth/Ground truth/R3/5_right_loop.tsv,8baed0b33ff3f79ab883ea9b71c7d7cf3c6b488c56148517f02ddc892db5ce96,6b1bae4b783493a636ced814b6bb67fd9219444a2f3a9e2a1327c015fe5ee416,502,20,0cb798c781bcc2235243ec91fe380b712817614a0434834b57041a9cdd7c3586
27,R3/3_tented_arch,R3,tented_arch,Pore ground truth/Fingerprint Images/R3/3_tented_arch.jpg,Pore ground truth/Ground truth/R3/3_tented_arch.tsv,7e8f44e610c0552acbc5f894d6a9422e1a2fefffd200019c0daf807b6affc66f,cc3dafd5ea08749991d28c58ca2f976efd51296c6d7ca14d3144094461bc84bd,463,20,477d1fe9cb81f5201114d118eb0d89b92375933c36f73d1b99106c7580d60b3e
28,R3/19_whorl,R3,whorl,Pore ground truth/Fingerprint Images/R3/19_whorl.jpg,Pore ground truth/Ground truth/R3/19_whorl.tsv,8d2a5811c6d0619f8db6828c6e1c6553fb2127a4faf273bea1fb25df094bca68,37ee75a6412de3971902503bbecb158c8a13ee1ecd4eb179a3e8b80933210e73,356,20,0a5785eec40ebad9621b497a8565dacb84896e22ebfd6b5f93ece2aad6b71ebc
29,R3/16_whorl,R3,whorl,Pore ground truth/Fingerprint Images/R3/16_whorl.jpg,Pore ground truth/Ground truth/R3/16_whorl.tsv,8c27a0be3d92b5c5ac001945f64bbcc7ef5de38091125272541004669cb09896,2ed262179be9ef395386db65f469cb18b2b6cd9168270802e2870468f3ad0927,394,20,0b189af5bf5177e41b3741f7ef8718b9574244e92e9435f2e0e3a05f72e308c2
30,R3/21_whorl,R3,whorl,Pore ground truth/Fingerprint Images/R3/21_whorl.jpg,Pore ground truth/Ground truth/R3/21_whorl.tsv,718f1e92f674e4c9f200c1672c3e0b06a52e09fa2b0602fc241ba9437c711804,0cc948d9bcfa8a4ee63fab6f3134e1e57226df4790b42edff3fa58700e3b9af1,376,20,0b70d5349e15f7b03130dc5b713927f78cab328a44d7a842b3fbc6de1ed09934
31,R4/5_left_loop,R4,left_loop,Pore ground truth/Fingerprint Images/R4/5_left_loop.jpg,Pore ground truth/Ground truth/R4/5_left_loop.tsv,1b17b2e6425aef4bda78f4b99abec404c35dcec49b18f762b3b6a7dc99fd20c9,c5eb57d36965758898f187859d1ed47f0b200b9d50c0c57777617b4a6264e246,475,20,0a95186b15f1b571c14392f152179891a1881fdfe764467bd365c7e68a95cd4a
32,R4/4_plain_arch,R4,plain_arch,Pore ground truth/Fingerprint Images/R4/4_plain_arch.jpg,Pore ground truth/Ground truth/R4/4_plain_arch.tsv,d2a071092860c3fe24aba916cc1b16a4d4e179d486cf0fa238b227e3cec2ca7a,750e481ce778f7f8e10e479cb23690b95568841f922cd57b1f6739e334c9804d,383,20,0641e491c721bd1f7062d2d88a70fdc037b9fe02a6d73f2bb4aeda52782a505e
33,R4/21_right_loop,R4,right_loop,Pore ground truth/Fingerprint Images/R4/21_right_loop.jpg,Pore ground truth/Ground truth/R4/21_right_loop.tsv,7c2aebda500db6eab7a16934547a4514ba8307dbe4a965e893bf2b4507dc4ede,e539166afac26ec2f5214756f8ac90191c38c9a55d117f6b98940ebe5fb24efd,459,20,061cb19e50ef4e0e394d5cd24138b8b54fb47d6714cc242d861b835b55018f1d
34,R4/33_right_loop,R4,right_loop,Pore ground truth/Fingerprint Images/R4/33_right_loop.jpg,Pore ground truth/Ground truth/R4/33_right_loop.tsv,00d6a80a2b676cf252a1844a05ee622494782f1afd37b4e6c05d1aafe97405e3,647a18ae7a70b90b7178376e11da5222950caa43d290e56c59ce8c78c2e0b3be,370,20,06d8e2252c405cc43f8cb1863fadfe2c0868a7db0bf727bae971c009644fce48
35,R4/14_right_loop,R4,right_loop,Pore ground truth/Fingerprint Images/R4/14_right_loop.jpg,Pore ground truth/Ground truth/R4/14_right_loop.tsv,1a766c0f8dfc6f3476eee4774a384f75885f701069dfaaeab61771880e024055,571275db305569d2284f814390a90f1001bb0e8f4dd55f9aa46e53516fda50fd,466,20,07166e9c950de549ecc65231c6e27492bc51a0c633133999e8d89ad769abe721
36,R4/44_right_loop,R4,right_loop,Pore ground truth/Fingerprint Images/R4/44_right_loop.jpg,Pore ground truth/Ground truth/R4/44_right_loop.tsv,c77c816986ae487619d5b3357022d2d6e520ffbf0d3a0a33b84c30775bf58c02,26d418807936d690fbe73f9b9e2806105fa37a06345edcb0a653bf4154606d8e,435,20,0ab5e3edafafd90575acd327b53de5c814a1c9c2357d811ffd0cd9d9c6374e3f
37,R4/3_tented_arch,R4,tented_arch,Pore ground truth/Fingerprint Images/R4/3_tented_arch.jpg,Pore ground truth/Ground truth/R4/3_tented_arch.tsv,50d57403c25721ddf0370d49f7722980469d94dc59d130fe58c0753a9bfc9e2c,244b55dd5174d6e707303acc2cd6947f50fdaee1d9cbf25e60c530218df2d449,338,20,1c1a2745d5cd6d328706e78a6a891a0d789d66ef40e9bb7d268bf07b0c098c96
38,R4/59_whorl,R4,whorl,Pore ground truth/Fingerprint Images/R4/59_whorl.jpg,Pore ground truth/Ground truth/R4/59_whorl.tsv,2013506acf3b1569f81fb38409a8ac1d34de4fc1abcdb66b68ab071e419294bf,9a97a45df835757a4ae9d24acd6c39ea63baefc65c1f1d928b83f3c4eb071578,541,20,022f34b286ab62f013476353faef36a991c89ae2e52301def4cd2d3c64d227ce
39,R4/9_whorl,R4,whorl,Pore ground truth/Fingerprint Images/R4/9_whorl.jpg,Pore ground truth/Ground truth/R4/9_whorl.tsv,a99b84130ccbd98a8bdf04921bbb0b0306a9272fa06feab8e3bb7d532b7adb93,5ac088d4ae937ba2c86bda6c06200d5052f66da67ab43dd08dbaff03babad747,460,20,04d08bada784d5af7a9c8974fba39cf16c4569275984f74284bf2b20e9479e99
40,R4/54_whorl,R4,whorl,Pore ground truth/Fingerprint Images/R4/54_whorl.jpg,Pore ground truth/Ground truth/R4/54_whorl.tsv,dba5338db74f894b2d4f6d97085a926c5444fa8b25a148408e2ce8bf70562a6b,ba0c6a7071f79068471765bbbeacac4b11ecd16b267abd71bf9961c5ee73f260,484,20,059877f41ebc20e854712344a82424dd3e56553598196611f0b8562dd38e0e9f
41,R5/4_left_loop,R5,left_loop,Pore ground truth/Fingerprint Images/R5/4_left_loop.jpg,Pore ground truth/Ground truth/R5/4_left_loop.tsv,7170d7fe88d1cde1701350eec5af0106af72a5062df9c18d298594b5be909d5e,a18b8e219ff4e7c4b247af38a0693b0bbfe439a1f93138bb63c92f57e058ee0e,477,20,0d218852e9042140723ab6bcc325d0dddb4dc6e3b228c696006206dd4e4a8678
42,R5/1_plain_arch,R5,plain_arch,Pore ground truth/Fingerprint Images/R5/1_plain_arch.jpg,Pore ground truth/Ground truth/R5/1_plain_arch.tsv,893d0d794fb500a946fb32e83ee715bd0c5a8630032bc75f28bfc6a326c54859,7d779f3ff89cfa2f68d56dd044d86f4ba33ca77be6dd7c6353cd449ef2188abd,459,20,1295f99c79062428f03c5a07f5e17c89ddbf881571497ec66ad71ea111470b58
43,R5/28_right_loop,R5,right_loop,Pore ground truth/Fingerprint Images/R5/28_right_loop.jpg,Pore ground truth/Ground truth/R5/28_right_loop.tsv,cb3222a194702ea18a08face46346f1c704fe8a9fe3240b95d3f0a85549c5783,0fc4d15b03c4869b0236a01bfe1d986baa0d3171e2a9b20015d695c44d123db0,310,20,06708098cb03db16dd8158876f9000b79fe94278ccabea9de68c80208e462753
44,R5/40_right_loop,R5,right_loop,Pore ground truth/Fingerprint Images/R5/40_right_loop.jpg,Pore ground truth/Ground truth/R5/40_right_loop.tsv,ebe073353eb90107bc38363456ec3d19bd6c00f5fc4826628af736ed703f9555,a2b3f94e31d43d23ae5335645eca49016cf991d1ed251728fc6351d7a4ad13e5,509,20,094a04f558043934aeb1040a26708a89b42a24f19ecc04bc64292b5291922ef6
45,R5/16_right_loop,R5,right_loop,Pore ground truth/Fingerprint Images/R5/16_right_loop.jpg,Pore ground truth/Ground truth/R5/16_right_loop.tsv,f1413fc61b5fc69aed504c8a82762272ad83449bd4335aedd5c5a4472ba3d392,116523e58eb98e6074c468e368eba4a2356690f1a91c822c5e7afdb877a0b1f5,442,20,095109932eca5d11a772a03c3324e8059f4109207621922599c266e1b4ea0cfb
46,R5/64_right_loop,R5,right_loop,Pore ground truth/Fingerprint Images/R5/64_right_loop.jpg,Pore ground truth/Ground truth/R5/64_right_loop.tsv,95b5e3cd2924e648884936398fd2950ac6481f2e7df0e6cd445cc524315d78ae,f7c3ff793216658ea6cd10c848123054182cdfffbcbb70e82ea239eaddb223a8,323,20,0b31e53bcba26fa2e2e8e0d7dbc082a429a2d5889cbde05bebd106be6665d331
47,R5/1_tented_arch,R5,tented_arch,Pore ground truth/Fingerprint Images/R5/1_tented_arch.jpg,Pore ground truth/Ground truth/R5/1_tented_arch.tsv,85d66c56282e5f662f8aa7a5b55046f44f553a3d151ae0d7715ea7f91a1799a5,533b88a63bcfb2e30c4a6c5553dc98f417fe18ced056d4213ce9d72fc33497c1,341,20,48e9f2893c1aa4a0a72f5f761542acd9d97c64210084ad3ae03f0b4bbeeffa8b
48,R5/28_whorl,R5,whorl,Pore ground truth/Fingerprint Images/R5/28_whorl.jpg,Pore ground truth/Ground truth/R5/28_whorl.tsv,4cc372803954ef12f191bb0f8f3960fe6e6331fb2ef0c3db1e8ca1986f697b8d,c39f863123809999073f314546bf2b2b1fe5a3a4dce3cae54bca1048a980a0c6,415,20,027402c03825a0e279436a1fd762258db204c88ae2e2e6d962c6df764a2d71e9
49,R5/21_whorl,R5,whorl,Pore ground truth/Fingerprint Images/R5/21_whorl.jpg,Pore ground truth/Ground truth/R5/21_whorl.tsv,c3f4965e565e2bf4ec2c5da63047d2c2932de1b9f8479d01996b2be38bf97d04,69b12e8788b780712b1a715918e590c723bee6950a7687c863d419b77f74948c,518,20,0bb15ebc04d8ffdafd80982cee83456244f4ce8952ef0de922548ee1012acf4d
50,R5/33_whorl,R5,whorl,Pore ground truth/Fingerprint Images/R5/33_whorl.jpg,Pore ground truth/Ground truth/R5/33_whorl.tsv,898fbe438a67e8d8f2010d391846aa27ed6cf3e1cc95ba2ae83d78c1e70e1996,2854dd41f5aa2fc35e73b0879f4b6f8a0d3a071f962fc70989aa487d0ca22136,365,20,1d0e0b75937a288da39dc998a8da9fd733cc6189cccb7f883dd959b18deaadfe
